record;date;QLANG;Q1;PROV;PROV2;QAB;QBC;QON;Q0QC;Q0QCA;Q0QCB;Q0QCC;Q0QCD;Q0QCE;Q0QCF;Q0QCG;REGIO;FSA;POSTAL6;age;sexe;SCOL;FOYr1;FOYr2;FOYr3;FOYr4;LANGU;Q2r1;Q2r2;Q2r3;Q2r4;Q3r1;Q3r2;Q3r3;Q3r4;Q3r5;Q4;Q5r1;Q5r2;Q5r3;Q5r4;Q5r5;Q5r96;Q6r1;Q6r2;Q6r3;Q6r4;Q6r5;Q6r6;Q6r7;Q7;Q8r1;Q8r2;Q8r3;Q8r4;Q8r5;Q8r6;Q8r7;Q9r2;Q9r3;Q9r4;Q10Ar1;Q10Ar2;Q10Ar3;Q10Ar4;Q10Ar5;Q10Ar6;Q10Ar7;Q10Ar8;Q10Ar9;Q10Ar10;Q10Ar11;Q10Ar12;Q10Ar13;Q10Ar14;Q10Ar15;Q10Ar16;Q10Ar17;Q10Ar18;Q10Ar19;Q10Ar20;Q10Ar96;Q10Br1;Q10Br2;Q10Br3;Q10Br4;Q10Br5;Q10Br6;Q10Br7;Q10Br8;Q10Br9;Q10Br96;Q10Br97;Q11r1;Q11r2;Q11r3;Q11r4;Q11r5;Q11r6;Q11r7;Q11r8;Q11r9;Q11r10;Q11r11;Q11r12;Q11r97;Q12A2;Q12A3;Q12B2;Q12B3;Q12C2;Q12C3;Q13r1;Q13r2;Q13r3;Q13r4;Q14;Q15;Q16r1;Q16r2;Q16r3;Q16r4;Q16r5;Q16r6;Q16r7;Q17r1;Q17r2;Q17r3;Q17r4;Q17B;Q17C;Q17D;Q18r1;Q18r2;Q18r3;Q18r4;Q18r5;BORN;REVEN;POL;EMPLO;ETAT;PROP;PROP2;COL;COMMENTAIRE;Pond
1323;2022-02-15;1;5;7;6;;;;;;;;;;;;;E3B;E3B9A4;5;2;2;0;0;0;2;2;5;99;1;1;1;0;0;0;0;2;0;0;0;4;0;0;;;;;;;;2;3;4;3;2;3;4;4;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;4,00;4,00;12,00;12,00;8,00;8,00;4;1;2;3;2;3;1;2;3;1;3;3;3;5;5;3;3;1;;;2;3;3;3;4;1;6;4;2;3;1;1;4;;1,24921
1324;2022-02-15;1;4;2;2;63;;;;;;;;;;;;T0M;T0M1J0;6;1;5;0;0;0;1;2;6;2;1;1;1;0;0;0;0;3;0;0;0;0;5;0;;;;;;;;5;5;1;1;1;1;1;1;5;5;5;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;4,00;3,70;12,00;10,50;8,00;8,00;4;3;2;1;2;2;1;1;1;5;1;3;3;4;4;1;5;2;;;5;2;1;4;2;1;10;7;1;3;1;1;4;Government has lost all credibility, it the solution to reducing waste is bigger intrusive government I am no longer interested in reducing waste;0,39113
1325;2022-02-15;1;4;5;4;;;55;;;;;;;;;;P0J;P0J1S0;4;2;2;0;0;0;1;2;7;1;1;1;1;0;0;0;0;2;0;0;3;0;0;0;4;1;1;1;4;4;4;2;4;2;3;2;2;2;2;3;5;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1,50;2,00;12,00;12,00;5,00;6,00;4;2;1;3;2;1;1;1;1;3;1;4;4;4;4;1;1;2;;;1;4;1;4;2;1;3;7;1;3;1;1;4;plastic came into effect to reduce waste in landfills compared to cans and bottles.  Now they go back and say they have to get rid of plastic ....plastic is everywhere---buttons, zippers, milk bags, inside cereal boxes, lids on coffee cups, slippers, wraps around large boxes, toothbrushes etcccccc.  so trying to reduce plastic is completely good but stores should not charge extra to people just to reduce plastic waste.  The consumer pays high taxes as it is and should not have to pay extra.;1,01987
1326;2022-02-15;1;5;6;5;;;;6;;;;;;;;1;H8R;H8R1K1;3;2;4;0;0;0;1;2;5;2;2;1;0;0;1;1;0;2;0;0;0;4;0;0;;;;;;;;7;4;4;2;2;1;1;1;2;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;4,00;999,00;12,00;999,00;999,00;999,00;4;3;2;1;3;2;3;3;3;3;3;3;3;4;4;4;2;1;;;3;3;3;3;4;2;1;99;1;1;4;2;1;;1,37770
1327;2022-02-15;2;3;6;5;;;;11;;;;;;;;3;G4X;G4X1B1;3;2;2;0;0;0;2;1;5;2;2;5;1;0;0;0;0;3;0;0;0;4;0;0;;;;;;;;4;3;5;3;4;2;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;999,00;999,00;999,00;999,00;8,00;8,00;1;2;3;4;2;2;2;2;2;4;2;2;3;4;3;3;5;2;;;3;5;4;4;4;1;2;1;1;3;1;3;4;;0,88904
1328;2022-02-15;1;3;5;4;;;59;;;;;;;;;;L6Z;L6Z2T5;5;1;5;0;0;0;3;3;2;2;1;5;1;0;0;0;0;1;0;0;0;4;0;0;;;;;;;;6;3;3;3;3;3;3;3;2;2;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;0;0;0;0;2,00;2,40;6,00;6,60;4,00;4,50;4;1;2;3;2;3;1;3;1;3;2;1;5;3;3;3;3;1;;;3;3;3;3;3;2;98;4;1;3;1;1;1;;0,57720
1329;2022-02-15;1;3;5;4;;;57;;;;;;;;;;K1K;K1K4J2;4;1;6;0;0;0;2;2;2;4;1;5;0;0;0;1;0;3;0;0;0;0;5;0;;;;;;;;3;4;5;3;4;5;5;5;4;4;3;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2,50;2,30;8,00;7,50;4,00;3,50;4;1;2;3;2;3;1;3;2;1;1;3;4;4;5;1;1;2;;;5;4;2;3;2;1;98;99;6;3;3;1;2;very poorly researched and done survey;0,46433
1330;2022-02-15;2;4;5;4;;;59;;;;;;;;;;L6H;L6H4J8;3;2;4;0;0;0;1;1;5;2;2;4;1;0;0;0;0;2;0;0;0;4;0;0;;;;;;;;4;3;4;2;2;3;3;3;3;2;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3,70;4,00;22,90;10,30;6,90;7,10;4;1;2;3;2;2;3;3;3;3;2;3;3;4;3;2;4;1;;;2;2;4;2;4;1;9;3;2;4;1;2;3;;1,09076
1331;2022-02-15;1;3;5;4;;;57;;;;;;;;;;K1G;K1G2E3;3;2;5;0;0;0;3;2;5;2;1;1;1;0;0;0;0;3;0;0;0;4;0;0;;;;;;;;2;2;4;4;4;4;4;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;5,20;3,00;15,10;18,10;4,70;10,30;1;2;4;3;2;2;3;2;3;3;4;3;3;4;4;3;4;4;;3;4;3;4;4;4;1;7;3;1;2;1;2;2;;0,67341
1332;2022-02-15;1;5;6;5;;;;6;;;;;;;;1;H1T;H1T1J4;4;2;4;0;0;1;2;3;6;7;7;7;1;0;0;0;0;2;0;0;0;4;0;0;;;;;;;;6;3;4;4;4;3;4;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,30;3,80;4,60;4,50;999,00;999,00;3;4;2;1;2;2;3;1;1;1;1;1;1;1;1;3;2;2;;;3;2;3;4;4;1;5;5;5;2;1;1;1;;1,20872
